username,userid,profile_location,created_at,text,retweet_count,source,coordinates
trans inclusionary radical anti-humanist,528146107,"New York, USA",2023-03-05 14:50:52,"I know it wasn't a good time for us colored folks, or Jews, or women, or the LGBTQ+ community...but I long for the… https://t.co/LVLdsOmhsx",0,Twitter for Android,
PFLAG NYC,17042066,"New York, NY",2023-03-05 14:45:37,"Join us on March 9 from 6 - 7:30 pm ET for the second installment of our free virtual workshop series, Understandin… https://t.co/adqg42sriz",2,LaterMedia,
brent is ready for baseball ⚾️,4856532991,NYC,2023-03-05 14:36:59,"the libs are cooking on LGBTQ issues, I fear",0,Twitter for iPhone,
👽 Jeremy Poolet 👽,4095657134,"New York, USA",2023-03-05 14:33:38,@swankmotron All just to get votes. It has to be the least important thing in America to be concerned with . I mean… https://t.co/XG1ksBKWU5,0,Twitter for Android,
Something Like a Kilamenon,1217652972517236736,Central New York,2023-03-05 14:32:59,"@mikemfromvc @spjk @shelly2161 @CarlosGSmith @nakesha_horsey I don’t know what he’s prattling on about, but I fear… https://t.co/LBemYkbr5O",0,Twitter for iPhone,
Sha Sha,794099360,"Brooklyn, NY",2023-03-05 14:27:23,"They never define ‘woke’.
They can’t define CRT.
They never give examples of where CRT is taught in K-12.
They neve… https://t.co/LFQYDfaE5E",17,Twitter for iPhone,
TheTruthHurts #EndJewHatred,1396289173254967296,"New York, USA",2023-03-05 14:25:54,"@blakeflayton Not everything centers around LGBTQ as much as you wish it did. You really turned out to be a big asset, didnt you .",0,Twitter for Android,
CBS New York,16299627,New York City,2023-03-05 14:14:29,"The Staten Island St. Patrick's Day Parade steps off Sunday, but not without controversy. @Christinafantv reports. https://t.co/qaoFKV1o77",3,SocialNewsDesk,
Opal,1457797251825377280,New York,2023-03-05 14:05:17,"We believe that everyone has a right to feel safe &amp; secure. 

No matter your background, race, religion or ethnicit… https://t.co/FLsVNaOUpS",0,Twitter for iPhone,
I Am Blue,1339387287906488323,"The Bronx, NYC",2023-03-05 13:55:31,"@Franktheshank88 Parents’ Bill of Rights ok, but there is the
Children's Bill of Rights or the
LGBTQ+'s Bill of Rig… https://t.co/c8pwUOYJ9f",0,Twitter Web App,
Jose Lugo,2921939557,"Manhattan, NY",2023-03-05 13:23:16,@LynnMor01381535 @dom_lucre ight joe you aren’t wrong with this one. lgbtq is ruining our generation,0,Twitter for iPhone,
Bryan Gaffin,732601616524836864,NEW YORK CITY,2023-03-05 13:22:45,@LTock @notcapnamerica It’s not even about “feeling good”- it’s about not “being embarrassed” or “not a man”. I don… https://t.co/2xy1UElYPF,0,Twitter for iPhone,
DIMEJI,4171949991,"Manhattan, NY",2023-03-05 13:22:30,Please y’all need to stop using LGBTQ people as your gotcha moment. They’re going through a lot already. You bigots… https://t.co/ZDQZz9wUk7,0,Twitter for iPhone,
Incredible panic rules.,14475647,Philly via NYC,2023-03-05 13:10:17,"You know this guy, .@JeffSharlet? https://t.co/W1W0iOleeD",0,Twitter for Android,
charlesazorn,17084854,NYC,2023-03-05 13:00:07,Alaska Says It’s Now Legal “in Some Instances” to Discriminate Against LGBTQ Individuals https://t.co/JBRD7Feebc,0,Twitter for Android,
6sqft,2413092289,New York City,2023-03-05 13:00:00,"Proposal to restore Prospect Park’s Vale faces criticism from LGBTQ+ advocates
https://t.co/zaDBCIGDYV https://t.co/g2gGc0a3Zw",0,TweetDeck,
James Igoe,40443160,"New York, NY",2023-03-05 12:34:19,Alaska Says It’s Now Legal “in Some Instances” to Discriminate Against LGBTQ Individuals https://t.co/x88SwjEirX via @instapaper,0,Instapaper,
Voice of Reason,801602037049950208,"Brooklyn, NY",2023-03-05 12:24:01,@AmethystTrotter @jb_lobster @BrotiGupta @michaeljknowles @RollingStone As an aside-they don’t acknowledge us LGBTQ… https://t.co/Z8ISvsFWqI,0,Twitter for iPhone,
Voice of Reason,801602037049950208,"Brooklyn, NY",2023-03-05 12:16:39,"@AmethystTrotter @jb_lobster @BrotiGupta @michaeljknowles @RollingStone It’s their same old BS of “hate the sin, no… https://t.co/zX9Jqxo8j1",0,Twitter for iPhone,
Feed hungry children UK,18924384,London ,2023-03-05 12:10:21,@MailOnline A bit rich when the daily fail parrots anti #LGBTQ rhetoric every single day.,0,Twitter Web App,
David F.,1400531060845391877,"Hoboken, NJ",2023-03-05 12:06:41,"At drag show, a call to eradicate the #GOP gets big cheers. #LGBTQ https://t.co/ItVgeJ9kJs",0,Twitter for iPhone,
I Am Blue,1339387287906488323,"The Bronx, NYC",2023-03-05 11:54:54,"@justoldmanhere Trans rights as well as LGBTQ+ rights are human rights. Full stop. 

All human beings deserve to be… https://t.co/prWg9Ob3hy",0,Twitter Web App,
Jose DeJesus Zamora,207288610,New York City,2023-03-05 07:50:26,"@ACTBrigitte So let me get this straight….
7 year olds can’t be told about the existence of LGBTQ people but it’s o… https://t.co/Fq0qxRMVTA",2,Twitter for iPhone,
Callan,4441950880,"New York, USA",2023-03-05 07:36:22,@jamestracyny @mmpadellan @DavidAFerree The ones discriminating against LGBTQ+ and Jewish people are the ones against discrimination?,0,Twitter Web App,
Walter Masterson,21962767,"New York, NY",2023-03-05 07:13:12,"Dude came to bully LGBTQ and got hot coffee spat on him.

Justice served. https://t.co/6iDVYpdaXp",105,Twitter for iPhone,
World Class45,1586515204732592129,"Brooklyn, NY",2023-03-05 06:40:16,"I Don't JUST WATCH PORN ON TWITTER. WHITE PEOPLE DON'T KNOW WHAT ""WOKE"" MEANS. SOMEBODY HAS TO SAY IT! I CAN MAKE A… https://t.co/RF1rjhMwm9",0,Twitter for Android,
YO@NYC,3188963957,"New York, NY",2023-03-05 05:09:43,@monitoringbias Whites and Asians students need to align them to LGBTQ to gain admission advantage.,0,Twitter for Android,
American Blonde Ale,1133541977612591104,"New York, USA",2023-03-05 05:07:05,I’m skipping buying tickets to Disco Lines to bar hop around my neighborhood LGBTQ+ bars and no ragrets. I LOVE MY NEW HOME.,0,Twitter for iPhone,
THE HOODRAT PLATE,1463036955868872709,"New York, NY",2023-03-05 05:00:47,….but men that identify with LGBTQ+ is emasculating “black men” / are the downfall in the community? Okay. https://t.co/fcY3kuaJNJ,0,Twitter for iPhone,
"picture taker, button pusher",25325489,NYC,2023-03-05 04:57:59,I’d like all the queerbaiting celebrities to speak up and out against the 340 anti-LGBTQ+ bills that have been pres… https://t.co/bCho0WLboh,2,Twitter for iPhone,
"picture taker, button pusher",25325489,NYC,2023-03-05 04:39:07,@MileyCyrus hey any chance you’re going to speak out about your home state’s passing of discriminatory anti-LGBTQ+ laws?,0,Twitter for iPhone,
BrooklynDad_Defiant!☮️,1640929196,"Brooklyn, NY",2023-03-05 04:23:37,"In the year 2023, if you have an issue with LGBTQ folks loving whoever they want to love, or being their authentic… https://t.co/aBesIQ1HsK",2149,Twitter for Android,
Jamie O'Brien,1360156843,"New York, NY",2023-03-05 04:14:45,@MarkPanic1 @SenWarren @Walgreens The teachers were cleared. It's not happening. https://t.co/PwT4m9qnbM,0,Twitter for Android,
Tom Smith,1464637290182062081,The Republic of Brooklyn ,2023-03-05 03:54:49,Alaska Says It’s Now Legal “in Some Instances” to Discriminate Against LGBTQ Individuals https://t.co/3gMfWbjH4v,1,Twitter Web App,
ProPublica,14606079,"New York, NY",2023-03-05 03:36:36,Alaska never issued a press release to announce its rollback of the state's anti-discrimination policy for LGBTQ pe… https://t.co/BgFfUo3bzB,71,SocialFlow,
Blue Democrat🇺🇦,1225523562452312064,"Manhattan, NY",2023-03-05 03:31:11,"@Roshan_Rinaldi @MRedsecker Uh, not if your a woman, LGBTQ+, poor, illiterate, like to read books or want a good ed… https://t.co/5fXbKgNH1i",0,Twitter for Android,
D.E.,229215667,Kensington,2023-03-05 03:30:03,Psst... normalization of homosexuality in public life hasn’t been altogether great either. I’m not saying we should… https://t.co/T4X8uxpYVe,0,Twitter for Android,
Libby Segal,105669363,"New York, NY",2023-03-05 03:16:43,Everything That Happened in Anti-Trans Legislation This Week: Feb 25-March 3 | them. https://t.co/fJZ5JbP7Oh,0,Twitter for iPhone,
Barry B. Benson 🇵🇷🏴‍☠️ #MENTOO,4867561144,"Bronx, NY",2023-03-05 02:53:41,@chadfelixg Someone from Roosterteeth posted this and I had to unfollow them. They seemed like a good guy to but I… https://t.co/IKEMnfZbmc,1,Twitter for iPhone,
Hamza Karoumia,239282132,"New York, USA",2023-03-05 02:53:29,"@2HotAtlanta True. But when the term was exclusive to the black community, crickets in terms of the mainstream. Aft… https://t.co/HYVcjnjp16",0,Twitter for iPhone,
jhenry,749759701,"Brooklyn, New York",2023-03-05 02:44:05,They will always be nominated or elected-- they keep winning: Check out this article: https://t.co/CNoWycU6e2,1,Twitter Web App,
Rasputjen,1540782142590013441,"New York, NY",2023-03-05 02:29:41,@Scott_Wiener @HRC @eqca @AliceLGBTQDems @harveymilkclub @VictoryFund @calgbt @CAJewishCaucus @EqualityFed… https://t.co/Y0eqPvhDLH,0,Twitter Web App,
Barry B. Benson 🇵🇷🏴‍☠️ #MENTOO,4867561144,"Bronx, NY",2023-03-05 02:26:50,"@Fenrirtheicewo1 I want to know why lgbtq people of power are like this, they’re openly ruining the support for the… https://t.co/5k9duE6rt8",0,Twitter for iPhone,
Out Magazine,21713274,"New York, NY",2023-03-05 01:45:32,The annual dance and music festival supports the National LGBTQ Task Force. https://t.co/fwKJ3RqJYX,4,RebelMouse Application,
chica marx,20607698,"New York, NY",2023-03-05 01:27:02,"@LucySussex @mclayfield That would be somewhat inverted definition, lol. Can we just stop pretending there's ""LGBTQ… https://t.co/1JeqRa75fG",0,Twitter Web App,
Scorsese Jr.,136868018,New York,2023-03-05 00:18:44,White Allies: We must protect our LGBTQ+ neighbors by any means necessary. This is one of the most public admission… https://t.co/nVeIA7jttA,0,Twitter for iPhone,
Peter Eichel,1474415458602213377,"New York, USA",2023-03-05 00:17:10,Gym time paying out lol 🌈 #gay #LGBTQ #pride https://t.co/FdetMCr5k9,0,Twitter for iPhone,
